_id,sn,mda,purpose,state,lga,address,landmark,year_commissioned,valuation,lat,lng,image_filename,image_source_url
asset_fc1983bc30,1,Federal Ministry of Agriculture And Rural Development,Office Building,Lagos,Agege,"J8W8+8W3, Ifako Agege 101232, Lagos",Maple Wood Estate,,,6.6252516,3.3112096,asset_fc1983bc30.jpg,https://upload.wikimedia.org/wikipedia/commons/2/20/Powrer_house%2C_Abuja.jpg
asset_be7f1b079b,2,Federal Ministry of Agriculture And Rural Development,Office Building,Lagos,Victoria Island,"1 Wilmot Point Road
Off Ahmadu Bello Way",Nigerian Institute for Oceanography and Marine Research,,,6.4300279,3.4259904,asset_be7f1b079b.jpg,https://upload.wikimedia.org/wikipedia/commons/2/20/Powrer_house%2C_Abuja.jpg
asset_036db50b77,3,Federal Ministry of Agriculture And Rural Development,Office Building,Abuja,AMAC,"Kapital Road, Area 11",Federal Capital Territory Adminstration,,,9.0552729,7.4662595,asset_036db50b77.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1b/Abuja_heritages_30.jpg
asset_f8a053571e,4,Vetinary Council Of Nigeria (VCN),Office Building,"FCT, Abuja",AMAC,"Plot 8, Zambezi Crescent, Maitama,",National Board for Technology Incubation,,,9.0797656,7.4906207,,
asset_0afb30edbb,5,Nigeria Quarantine Services (NAQS),Office Building,"FCT, Abuja",AMAC,Plot 81 Ralph Shodeinde street,Imo State Liason Office,,,9.0542323,7.4999344,,
asset_a820ed8118,6,Bank of Agriculture (BOA),Office Building,Kaduna,Kaduna,"1 Yakubu Gowon Way, Sabongiri",NIPOST General Post Office GPO,,,10.5182899,7.4359863,,
asset_2a55af20e5,7,Agricultural And Rural Management Training Institute (ARMTI),Office Building,Abuja,AMAC,"41, David Ejoor, Gudu",Agricultural and Rural Management Institute,,,9.0552729,7.4662595,,
asset_a96e3b2a5f,8,Nigerian Agricultural Insurance Corporation (NAIS),Office Building,"FCT, Abuja",AMAC,"Plot 950 Zone A.O Central Area, Abuja",Nigerian Integrated Water Resources management Commission,,,9.0552729,7.4662595,,
asset_9eb00765e6,9,Nigeria Agricultural Seed Council,Office Building,"FCT, Abuja",AMAC,"Km 29, Abuja-Lokoja Expressway

Sheda, FCT",ASCA Oil Tank Farm,,,9.0552729,7.4662595,,
asset_9945f0124c,10,National Centre For Agricultural Mechanization (NCAM),Office Building,Kwara,Ilorin,"Km 20 Ilorin- Lokoja Highway, Idofian, 240103, Ilorin,",Famtech Communications,,,8.4963657,4.5480484,,
asset_322b908d69,11,Nigeria Institute Of Animal Science (NIAS),Office Building,"FCT, Abuja",AMAC,Plot 1882 C13 Kabusa,Breden Luxury Estate II,,,9.0552729,7.4662595,,
asset_1d7c1cf9b2,12,Nigeria Institute Of Soil Science (NISS),Office Building,"FCT, Abuja",AMAC,"8 Abdullahi Ibrahim St, mabushi",Lighted Refined Energies LTD,,,9.0552729,7.4662595,,
asset_fc7fe5dca3,13,National Agricultural Land Development Authority (NALDA),Office Building,"FCT, Abuja",AMAC,"Area 11, Plot 802 Tafawa Balewa, Malumfashi Cl",Garki Hospital,,,9.0552729,7.4662595,,
asset_0ac22b4510,14,Agricultural Research Council Of Nigeria (ARCN),Office Building,"FCT, Abuja",AMAC,"Plot 223D, Cadestral Zone B6 Mabushi",Stanbic IBTC Bank,,,9.0552729,7.4662595,asset_0ac22b4510.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7d/ARCN_Building_image.jpg
asset_64895873c1,15,Federal College Of Forestry,Office Building,Oyo,Ibadan,"Jericho St, Jericho 200284, Ibadan",Foodco Supermarket,,,7.4060577,3.8467468,,
asset_4dc476b382,16,Chad Basin National Park,Office Building,Borno,Maiduguri,"R489+VW8, 600282, Maiduguri",INEC Office,,,11.8395375,13.1536214,,
asset_17163bdc88,17,Cocoa Research Institute Of Nigeria,Office Building,Oyo,Ibadan,"21b Aba Akinjide Rd, Agodi 200285, Ibadan",Pauls Anglican Primary School,,,7.3786064,3.8969928,,
asset_ea2b4664e7,18,College Of Forestry Mechanisation,Office Building,Kaduna,Afaka,Kaduna pmb 2312,Sabon Gida Mosque,,,10.5182899,7.4359863,,
asset_af985ca605,19,Cross River National Park,Office Building,Cross River,Calabar,669 Ikom-Abanliko Rd,Basua,,,4.9795999,8.3373597,,
asset_9535e22195,20,Federal Agricultural Co-Ordinating Unit (FACU) Headquarters,Office Building,Abuja,AMAC,"31 Lokoja St, Garki 900103, Abuja",NEM Insurance,,,9.0552729,7.4662595,asset_9535e22195.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1b/Abuja_heritages_30.jpg
