_id,sn,mda,purpose,state,lga,address,landmark,year_commissioned,valuation,lat,lng
asset_036db50b77,3,Federal Ministry of Agriculture And Rural Development,Office Building,Abuja,AMAC,"Kapital Road, Area 11",Federal Capital Territory Adminstration,,,9.0552729,7.4662595
asset_f8a053571e,4,Vetinary Council Of Nigeria (VCN),Office Building,"FCT, Abuja",AMAC,"Plot 8, Zambezi Crescent, Maitama,",National Board for Technology Incubation,,,9.0797656,7.4906207
asset_a96e3b2a5f,8,Nigerian Agricultural Insurance CorporationÃ‚Â (NAIS),Office Building,"FCT, Abuja",AMAC,"Plot 950 Zone A.O Central Area, Abuja",Nigerian Integrated Water Resources management Commission,,,9.0552729,7.4662595
asset_9eb00765e6,9,Nigeria Agricultural Seed Council,Office Building,"FCT, Abuja",AMAC,"Km 29, Abuja-Lokoja Expressway

Sheda, FCT",ASCA Oil Tank Farm,,,9.0552729,7.4662595
asset_9945f0124c,10,National Centre For Agricultural MechanizationÃ‚Â (NCAM),Office Building,Kwara,Ilorin,"Km 20 Ilorin- Lokoja Highway, Idofian, 240103, Ilorin,",Famtech Communications,,,8.4963657,4.5480484
asset_322b908d69,11,Nigeria Institute Of Animal ScienceÃ‚Â (NIAS),Office Building,"FCT, Abuja",AMAC,Plot 1882 C13 Kabusa,Breden Luxury Estate II,,,9.0552729,7.4662595
asset_fc7fe5dca3,13,National Agricultural Land Development Authority (NALDA),Office Building,"FCT, Abuja",AMAC,"Area 11, Plot 802 Tafawa Balewa, Malumfashi Cl",Garki Hospital,,,9.0552729,7.4662595
asset_0ac22b4510,14,Agricultural Research Council Of Nigeria (ARCN),Office Building,"FCT, Abuja",AMAC,"Plot 223D, Cadestral Zone B6 Mabushi",Stanbic IBTC Bank,,,9.0552729,7.4662595
asset_64895873c1,15,Federal College Of Forestry,Office Building,Oyo,Ibadan,"Jericho St, Jericho 200284, Ibadan",Foodco Supermarket,,,7.4060577,3.8467468
asset_4dc476b382,16,Chad Basin National Park,Office Building,Borno,Maiduguri,"R489+VW8, 600282, Maiduguri",INEC Office,,,11.8395375,13.1536214
